Grid_ID,Grid_Row,Grid_Col,Center_Latitude,Center_Longitude,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
2_12,12,2,39.965635,139.949232,39.92059,40.01068,139.892069,140.006395
3_12,12,3,39.965635,140.063558,39.92059,40.01068,140.006395,140.120721
4_12,12,4,39.965635,140.177884,39.92059,40.01068,140.120721,140.235047
5_12,12,5,39.965635,140.29221,39.92059,40.01068,140.235047,140.349373
6_12,12,6,39.965635,140.406536,39.92059,40.01068,140.349373,140.463699
7_12,12,7,39.965635,140.520862,39.92059,40.01068,140.463699,140.578025
8_12,12,8,39.965635,140.635188,39.92059,40.01068,140.578025,140.692351
9_12,12,9,39.965635,140.749514,39.92059,40.01068,140.692351,140.806677
10_12,12,10,39.965635,140.86384,39.92059,40.01068,140.806677,140.921003
11_12,12,11,39.965635,140.978166,39.92059,40.01068,140.921003,141.035329
12_12,12,12,39.965635,141.092492,39.92059,40.01068,141.035329,141.149655
0_13,13,0,40.055725,139.72058,40.01068,40.10077,139.663417,139.777743
1_13,13,1,40.055725,139.834906,40.01068,40.10077,139.777743,139.892069
2_13,13,2,40.055725,139.949232,40.01068,40.10077,139.892069,140.006395
3_13,13,3,40.055725,140.063558,40.01068,40.10077,140.006395,140.120721
4_13,13,4,40.055725,140.177884,40.01068,40.10077,140.120721,140.235047
5_13,13,5,40.055725,140.29221,40.01068,40.10077,140.235047,140.349373
6_13,13,6,40.055725,140.406536,40.01068,40.10077,140.349373,140.463699
7_13,13,7,40.055725,140.520862,40.01068,40.10077,140.463699,140.578025
8_13,13,8,40.055725,140.635188,40.01068,40.10077,140.578025,140.692351
9_13,13,9,40.055725,140.749514,40.01068,40.10077,140.692351,140.806677
10_13,13,10,40.055725,140.86384,40.01068,40.10077,140.806677,140.921003
11_13,13,11,40.055725,140.978166,40.01068,40.10077,140.921003,141.035329
12_13,13,12,40.055725,141.092492,40.01068,40.10077,141.035329,141.149655
0_14,14,0,40.145815,139.72058,40.10077,40.19086,139.663417,139.777743
1_14,14,1,40.145815,139.834906,40.10077,40.19086,139.777743,139.892069
2_14,14,2,40.145815,139.949232,40.10077,40.19086,139.892069,140.006395
3_14,14,3,40.145815,140.063558,40.10077,40.19086,140.006395,140.120721
4_14,14,4,40.145815,140.177884,40.10077,40.19086,140.120721,140.235047
5_14,14,5,40.145815,140.29221,40.10077,40.19086,140.235047,140.349373
6_14,14,6,40.145815,140.406536,40.10077,40.19086,140.349373,140.463699
7_14,14,7,40.145815,140.520862,40.10077,40.19086,140.463699,140.578025
8_14,14,8,40.145815,140.635188,40.10077,40.19086,140.578025,140.692351
9_14,14,9,40.145815,140.749514,40.10077,40.19086,140.692351,140.806677
10_14,14,10,40.145815,140.86384,40.10077,40.19086,140.806677,140.921003
11_14,14,11,40.145815,140.978166,40.10077,40.19086,140.921003,141.035329
12_14,14,12,40.145815,141.092492,40.10077,40.19086,141.035329,141.149655
0_15,15,0,40.235905,139.72058,40.19086,40.28095,139.663417,139.777743
1_15,15,1,40.235905,139.834906,40.19086,40.28095,139.777743,139.892069
2_15,15,2,40.235905,139.949232,40.19086,40.28095,139.892069,140.006395
3_15,15,3,40.235905,140.063558,40.19086,40.28095,140.006395,140.120721
4_15,15,4,40.235905,140.177884,40.19086,40.28095,140.120721,140.235047
5_15,15,5,40.235905,140.29221,40.19086,40.28095,140.235047,140.349373
6_15,15,6,40.235905,140.406536,40.19086,40.28095,140.349373,140.463699
7_15,15,7,40.235905,140.520862,40.19086,40.28095,140.463699,140.578025
8_15,15,8,40.235905,140.635188,40.19086,40.28095,140.578025,140.692351
9_15,15,9,40.235905,140.749514,40.19086,40.28095,140.692351,140.806677
10_15,15,10,40.235905,140.86384,40.19086,40.28095,140.806677,140.921003
11_15,15,11,40.235905,140.978166,40.19086,40.28095,140.921003,141.035329
12_15,15,12,40.235905,141.092492,40.19086,40.28095,141.035329,141.149655
0_16,16,0,40.325995,139.72058,40.28095,40.37104,139.663417,139.777743
1_16,16,1,40.325995,139.834906,40.28095,40.37104,139.777743,139.892069
2_16,16,2,40.325995,139.949232,40.28095,40.37104,139.892069,140.006395
3_16,16,3,40.325995,140.063558,40.28095,40.37104,140.006395,140.120721
4_16,16,4,40.325995,140.177884,40.28095,40.37104,140.120721,140.235047
5_16,16,5,40.325995,140.29221,40.28095,40.37104,140.235047,140.349373
6_16,16,6,40.325995,140.406536,40.28095,40.37104,140.349373,140.463699
7_16,16,7,40.325995,140.520862,40.28095,40.37104,140.463699,140.578025
8_16,16,8,40.325995,140.635188,40.28095,40.37104,140.578025,140.692351
9_16,16,9,40.325995,140.749514,40.28095,40.37104,140.692351,140.806677
10_16,16,10,40.325995,140.86384,40.28095,40.37104,140.806677,140.921003
11_16,16,11,40.325995,140.978166,40.28095,40.37104,140.921003,141.035329
12_16,16,12,40.325995,141.092492,40.28095,40.37104,141.035329,141.149655
0_17,17,0,40.416085,139.72058,40.37104,40.46113,139.663417,139.777743
1_17,17,1,40.416085,139.834906,40.37104,40.46113,139.777743,139.892069
2_17,17,2,40.416085,139.949232,40.37104,40.46113,139.892069,140.006395
3_17,17,3,40.416085,140.063558,40.37104,40.46113,140.006395,140.120721
4_17,17,4,40.416085,140.177884,40.37104,40.46113,140.120721,140.235047
5_17,17,5,40.416085,140.29221,40.37104,40.46113,140.235047,140.349373
6_17,17,6,40.416085,140.406536,40.37104,40.46113,140.349373,140.463699
7_17,17,7,40.416085,140.520862,40.37104,40.46113,140.463699,140.578025
8_17,17,8,40.416085,140.635188,40.37104,40.46113,140.578025,140.692351
9_17,17,9,40.416085,140.749514,40.37104,40.46113,140.692351,140.806677
10_17,17,10,40.416085,140.86384,40.37104,40.46113,140.806677,140.921003
11_17,17,11,40.416085,140.978166,40.37104,40.46113,140.921003,141.035329
12_17,17,12,40.416085,141.092492,40.37104,40.46113,141.035329,141.149655
0_18,18,0,40.506175,139.72058,40.46113,40.55122,139.663417,139.777743
1_18,18,1,40.506175,139.834906,40.46113,40.55122,139.777743,139.892069
2_18,18,2,40.506175,139.949232,40.46113,40.55122,139.892069,140.006395
3_18,18,3,40.506175,140.063558,40.46113,40.55122,140.006395,140.120721
4_18,18,4,40.506175,140.177884,40.46113,40.55122,140.120721,140.235047
5_18,18,5,40.506175,140.29221,40.46113,40.55122,140.235047,140.349373
6_18,18,6,40.506175,140.406536,40.46113,40.55122,140.349373,140.463699
7_18,18,7,40.506175,140.520862,40.46113,40.55122,140.463699,140.578025
8_18,18,8,40.506175,140.635188,40.46113,40.55122,140.578025,140.692351
