Grid_ID,Grid_Row,Grid_Col,Center_Latitude,Center_Longitude,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
1_11,11,1,38.794466,139.72058,38.749421,38.839511,139.663417,139.777743
2_11,11,2,38.794466,139.834906,38.749421,38.839511,139.777743,139.892069
3_11,11,3,38.794466,139.949232,38.749421,38.839511,139.892069,140.006395
4_11,11,4,38.794466,140.063558,38.749421,38.839511,140.006395,140.120721
5_11,11,5,38.794466,140.177884,38.749421,38.839511,140.120721,140.235047
6_11,11,6,38.794466,140.29221,38.749421,38.839511,140.235047,140.349373
7_11,11,7,38.794466,140.406536,38.749421,38.839511,140.349373,140.463699
8_11,11,8,38.794466,140.520862,38.749421,38.839511,140.463699,140.578025
0_12,12,0,38.884557,139.606254,38.839511,38.929602,139.549091,139.663417
1_12,12,1,38.884557,139.72058,38.839511,38.929602,139.663417,139.777743
2_12,12,2,38.884557,139.834906,38.839511,38.929602,139.777743,139.892069
3_12,12,3,38.884557,139.949232,38.839511,38.929602,139.892069,140.006395
4_12,12,4,38.884557,140.063558,38.839511,38.929602,140.006395,140.120721
5_12,12,5,38.884557,140.177884,38.839511,38.929602,140.120721,140.235047
6_12,12,6,38.884557,140.29221,38.839511,38.929602,140.235047,140.349373
7_12,12,7,38.884557,140.406536,38.839511,38.929602,140.349373,140.463699
8_12,12,8,38.884557,140.520862,38.839511,38.929602,140.463699,140.578025
0_13,13,0,38.974647,139.606254,38.929602,39.019692,139.549091,139.663417
1_13,13,1,38.974647,139.72058,38.929602,39.019692,139.663417,139.777743
2_13,13,2,38.974647,139.834906,38.929602,39.019692,139.777743,139.892069
3_13,13,3,38.974647,139.949232,38.929602,39.019692,139.892069,140.006395
4_13,13,4,38.974647,140.063558,38.929602,39.019692,140.006395,140.120721
5_13,13,5,38.974647,140.177884,38.929602,39.019692,140.120721,140.235047
6_13,13,6,38.974647,140.29221,38.929602,39.019692,140.235047,140.349373
7_13,13,7,38.974647,140.406536,38.929602,39.019692,140.349373,140.463699
8_13,13,8,38.974647,140.520862,38.929602,39.019692,140.463699,140.578025
0_14,14,0,39.064737,139.606254,39.019692,39.109782,139.549091,139.663417
1_14,14,1,39.064737,139.72058,39.019692,39.109782,139.663417,139.777743
